Name, time, alt, az
STARLINK-1378           , 2020-06-05 04:14:00+01:00, 72.61, 285.26
STARLINK-1317           , 2020-06-05 04:15:00+01:00, 85.04, 243.66
STARLINK-1297           , 2020-06-05 04:15:00+01:00, 78.17, 89.49
STARLINK-1302           , 2020-06-05 04:17:00+01:00, 42.86, 150.72
STARLINK-1379           , 2020-06-05 04:19:00+01:00, 69.96, 115.03
STARLINK-1040           , 2020-06-05 04:20:00+01:00, 48.62, 318.88
STARLINK-1329           , 2020-06-05 04:21:00+01:00, 67.60, 276.93
STARLINK-33             , 2020-06-05 04:22:00+01:00, 69.45, 22.77
STARLINK-1273           , 2020-06-05 04:22:00+01:00, 45.56, 151.04
STARLINK-1307           , 2020-06-05 04:25:00+01:00, 85.89, 28.72
STARLINK-1362           , 2020-06-05 04:26:00+01:00, 70.89, 130.02
STARLINK-1322           , 2020-06-05 04:26:00+01:00, 64.21, 225.84
STARLINK-1320           , 2020-06-05 04:26:00+01:00, 64.44, 178.37
STARLINK-1288           , 2020-06-05 04:27:00+01:00, 48.37, 149.24
STARLINK-1294           , 2020-06-05 04:27:00+01:00, 63.92, 179.51
STARLINK-1261           , 2020-06-05 04:27:00+01:00, 63.46, 225.07
STARLINK-1324           , 2020-06-05 04:27:00+01:00, 54.91, 152.63
STARLINK-1290           , 2020-06-05 04:28:00+01:00, 83.08, 296.94
STARLINK-1325           , 2020-06-05 04:28:00+01:00, 53.53, 152.18
STARLINK-1334           , 2020-06-05 04:28:00+01:00, 61.94, 228.48
STARLINK-1333           , 2020-06-05 04:28:00+01:00, 63.07, 181.39
STARLINK-1323           , 2020-06-05 04:29:00+01:00, 62.58, 183.76
STARLINK-1326           , 2020-06-05 04:29:00+01:00, 54.94, 157.02
STARLINK-1349           , 2020-06-05 04:29:00+01:00, 61.16, 228.04
STARLINK-1373           , 2020-06-05 04:30:00+01:00, 76.73, 156.16
STARLINK-1336           , 2020-06-05 04:30:00+01:00, 53.53, 156.25
